Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,"Total Occupied Housing Units",census_fips
Brooklyn,047,3,007700,"1,864",047007700
Brooklyn,047,3,007800,"1,480",047007800
Brooklyn,047,3,008000,"1,235",047008000
Brooklyn,047,3,008200,"1,303",047008200
Brooklyn,047,3,008400,"1,021",047008400
Brooklyn,047,3,008500,"2,833",047008500
Brooklyn,047,3,008600,0,047008600
Brooklyn,047,3,008800,"1,101",047008800
Brooklyn,047,3,009000,832,047009000
Brooklyn,047,3,009200,"1,544",047009200
Brooklyn,047,3,009400,"1,574",047009400
Brooklyn,047,3,009600,"1,778",047009600
Brooklyn,047,3,009800,"1,754",047009800
Brooklyn,047,3,010000,"1,798",047010000
Brooklyn,047,3,010100,"1,423",047010100
Brooklyn,047,3,010200,"1,422",047010200
Brooklyn,047,3,010400,"1,605",047010400
Brooklyn,047,3,010600,"1,521",047010600
Brooklyn,047,3,010800,"1,475",047010800
Brooklyn,047,3,011000,677,047011000
Brooklyn,047,3,011200,"1,928",047011200
Brooklyn,047,3,011400,"1,173",047011400
Brooklyn,047,3,011600,"1,267",047011600
Brooklyn,047,3,011700,998,047011700
Brooklyn,047,3,011800,604,047011800
Brooklyn,047,3,011900,688,047011900
Brooklyn,047,3,012000,341,047012000
Brooklyn,047,3,012100,694,047012100
Brooklyn,047,3,012200,"1,520",047012200
Brooklyn,047,3,012600,872,047012600
Brooklyn,047,3,012700,"1,450",047012700
Brooklyn,047,3,012801,733,047012801
Brooklyn,047,3,012901,978,047012901
Brooklyn,047,3,012902,883,047012902
Brooklyn,047,3,013000,"1,846",047013000
Brooklyn,047,3,013100,"1,806",047013100
Brooklyn,047,3,013200,749,047013200
Brooklyn,047,3,013300,"1,714",047013300
Brooklyn,047,3,013400,"1,500",047013400
Brooklyn,047,3,013500,"1,557",047013500
Brooklyn,047,3,013600,"1,577",047013600
Brooklyn,047,3,013700,"1,380",047013700
Brooklyn,047,3,013800,"1,352",047013800
Brooklyn,047,3,013900,"1,501",047013900
Brooklyn,047,3,014000,782,047014000
Brooklyn,047,3,014100,"1,265",047014100
Brooklyn,047,3,014200,"1,381",047014200
Brooklyn,047,3,014300,"1,427",047014300
Brooklyn,047,3,014500,"1,647",047014500
Brooklyn,047,3,014700,839,047014700
